 GTCOM.0 Online-B.5 TRANSSION.3 MS-EgDC.8 UEdin.4 Online-Y.2 HuaweiTSC.1 Online-A.6 Online-G.7
GTCOM.0 0.12 0.12 0.000123977944948156 7.44751332123763e-05 2.72595967362762e-05 1.25106260583543e-07 1.0230970011854e-11 8.49051335346438e-11 5.6830367489434e-21
Online-B.5 0.12 0.12 0.0263163104955902 0.0147191469318204 0.00685959086197759 0.000166629128425769 5.0004686717216e-07 5.85833472862189e-07 3.64531718779147e-16
TRANSSION.3 0.12 0.12 0.12 0.12 0.12 0.0488232310351784 0.00147723570153132 0.00155246656593389 7.06023375735752e-11
MS-EgDC.8 0.12 0.12 0.12 0.12 0.12 0.12 0.00578726951420105 0.00501933325009524 7.53422955648168e-10
UEdin.4 0.12 0.12 0.12 0.12 0.12 0.12 0.010600942575201 0.00924694763412335 2.92622622091082e-09
Online-Y.2 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 8.32477082565608e-07
HuaweiTSC.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.99944276912768e-05
Online-A.6 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.000137633449398983
Online-G.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

