 HuaweiTSC.1 Online-A.6 GTCOM.0 UEdin.4 Online-Y.2 TRANSSION.3 Online-B.5 MS-EgDC.8 Online-G.7
HuaweiTSC.1 0.12 0.12 0.12 0.12 0.0356397003535784 4.52446016678183e-05 0.0286261002901778 9.12906344262915e-09 2.39193772214855e-80
Online-A.6 0.12 0.12 0.12 0.12 0.0295419731274985 3.48605026927185e-05 0.024690432703899 7.46602767523652e-09 1.09658302596526e-79
GTCOM.0 0.12 0.12 0.12 0.12 0.00397807692361749 2.11524767276958e-06 0.00368856356976966 7.30065107653607e-10 1.78272768605549e-77
UEdin.4 0.12 0.12 0.12 0.12 0.0193992599670335 1.46201348724703e-05 0.0165770344043355 2.33010247517646e-09 5.93938651212606e-79
Online-Y.2 0.12 0.12 0.12 0.12 0.12 0.0285365672850917 0.12 0.000290895057912464 7.75527770217413e-61
TRANSSION.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0386314220897126 7.66387370245987e-56
Online-B.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00105993158599873 2.03396343183528e-56
MS-EgDC.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.00446689473754e-46
Online-G.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

