account,annotated_by_group,annotator_crowd_type
deufra0101,uedin,linguists
deufra0102,uedin,linguists
deufra0103,uedin,linguists
deufra0104,uedin,linguists
deufra0105,uedin,linguists
deufra0106,uedin,linguists
deufra0107,eTranslation,linguists
deufra0108,eTranslation,linguists
deufra0109,eTranslation,linguists
deufra010a,eTranslation,linguists
deufra010b,eTranslation,linguists
deufra010d,eTranslation,linguists
deufra010e,eTranslation,linguists
deufra0207,Toloka,Toloka crowd
deufra0208,Toloka,Toloka crowd
deufra0209,Toloka,Toloka crowd
deufra020c,Toloka,Toloka crowd
deufra020d,Toloka,Toloka crowd
deufra020e,Toloka,Toloka crowd
deufra020f,Toloka,Toloka crowd
deufra0211,Toloka,Toloka crowd
deufra0215,Toloka,Toloka crowd
deufra0216,Toloka,Toloka crowd
deufra0218,Toloka,Toloka crowd
deufra021a,Toloka,Toloka crowd
deufra021c,Toloka,Toloka crowd
deufra021d,Toloka,Toloka crowd
deufra021f,Toloka,Toloka crowd
deufra0220,Toloka,Toloka crowd
deufra0221,Toloka,Toloka crowd
deufra0222,Toloka,Toloka crowd
deufra0223,Toloka,Toloka crowd
deufra0224,Toloka,Toloka crowd
deufra0227,Toloka,Toloka crowd
deufra0228,Toloka,Toloka crowd
deufra022f,Toloka,Toloka crowd
deufra0231,Toloka,Toloka crowd
deufra0232,Toloka,Toloka crowd
deufra0405,Toloka,Toloka crowd
deufra0407,Toloka,Toloka crowd
deufra0409,Toloka,Toloka crowd
deufra040a,Toloka,Toloka crowd
deufra040b,Toloka,Toloka crowd
deufra040e,Toloka,Toloka crowd
deufra0411,Toloka,Toloka crowd
deufra0412,Toloka,Toloka crowd
deufra0413,Toloka,Toloka crowd
deufra0416,Toloka,Toloka crowd
deufra0417,Toloka,Toloka crowd
deufra0418,Toloka,Toloka crowd
deufra041c,Toloka,Toloka crowd
deufra041d,Toloka,Toloka crowd
deufra041f,Toloka,Toloka crowd
deufra0420,Toloka,Toloka crowd
deufra0421,Toloka,Toloka crowd
deufra0422,Toloka,Toloka crowd
deufra0425,Toloka,Toloka crowd
deufra0426,Toloka,Toloka crowd
deufra0428,Toloka,Toloka crowd
deufra042a,Toloka,Toloka crowd
deufra042b,Toloka,Toloka crowd
deufra042c,Toloka,Toloka crowd
deufra042d,Toloka,Toloka crowd
deufra042f,Toloka,Toloka crowd
deufra0432,Toloka,Toloka crowd
deufra6501,Microsoft,Microsoft annotators
deufra6502,Microsoft,Microsoft annotators
deufra6503,Microsoft,Microsoft annotators
deufra6504,Microsoft,Microsoft annotators
deufra6505,Microsoft,Microsoft annotators
deufra6506,Microsoft,Microsoft annotators
deufra6507,Microsoft,Microsoft annotators
deufra6508,Microsoft,Microsoft annotators
deufra6509,Microsoft,Microsoft annotators
deufra650a,Microsoft,Microsoft annotators
deufra650b,Microsoft,Microsoft annotators
deufra650c,Microsoft,Microsoft annotators
deufra650d,Microsoft,Microsoft annotators
deufra650e,Microsoft,Microsoft annotators
deufra650f,Microsoft,Microsoft annotators
deufra6510,Microsoft,Microsoft annotators
deufra6511,Microsoft,Microsoft annotators
deufra6512,Microsoft,Microsoft annotators
deufra6513,Microsoft,Microsoft annotators
deufra6514,Microsoft,Microsoft annotators
deufra6515,Microsoft,Microsoft annotators
deufra6516,Microsoft,Microsoft annotators
deufra6517,Microsoft,Microsoft annotators
deufra6518,Microsoft,Microsoft annotators
deufra6519,Microsoft,Microsoft annotators
deufra651a,Microsoft,Microsoft annotators
deufra651b,Microsoft,Microsoft annotators
deufra651c,Microsoft,Microsoft annotators
deufra651d,Microsoft,Microsoft annotators
deufra651e,Microsoft,Microsoft annotators
deufra651f,Microsoft,Microsoft annotators
deufra6520,Microsoft,Microsoft annotators
deufra6521,Microsoft,Microsoft annotators
deufra6522,Microsoft,Microsoft annotators
deufra6523,Microsoft,Microsoft annotators
deufra6524,Microsoft,Microsoft annotators
deufra6525,Microsoft,Microsoft annotators
deufra6526,Microsoft,Microsoft annotators
deufra6527,Microsoft,Microsoft annotators
deufra6528,Microsoft,Microsoft annotators
deufra6529,Microsoft,Microsoft annotators
deufra652a,Microsoft,Microsoft annotators
deufra652b,Microsoft,Microsoft annotators
deufra652c,Microsoft,Microsoft annotators
deufra652d,Microsoft,Microsoft annotators
deufra652e,Microsoft,Microsoft annotators
deufra652f,Microsoft,Microsoft annotators
deufra6530,Microsoft,Microsoft annotators
deufra6531,Microsoft,Microsoft annotators
deufra6532,Microsoft,Microsoft annotators
engces0101,CUNI,paid annotators
engces0102,CUNI,paid annotators
engces0103,CUNI,paid annotators
engces0104,CUNI,paid annotators
engces0105,CUNI,paid annotators
engces0106,CUNI,paid annotators
engces0107,CUNI,paid annotators
engces0108,CUNI,paid annotators
engces0109,CUNI,paid annotators
engces010a,CUNI,paid annotators
