 Borderline.4 Online-A.12 Online-W.3 UF.15 VolcTrans-AT.0 Facebook-AI.16 ICL.5 Online-G.14 Online-B.11 Online-Y.1 VolcTrans-GLAT.10 P3AI.18 SMU.17 UEdin.9 Nemo.7 Manifold.2 Watermelon.13 happypoet.8 HUMAN.0 HuaweiTSC.6
Borderline.4 - 0 0 0.01 0.02 0.03* 0.06* 0.08* 0.11*** 0.11*** 0.12** 0.12** 0.13*** 0.13*** 0.14*** 0.16*** 0.17*** 0.19*** 0.21*** 0.25***  
Online-A.12 0 - 0 0.01 0.02 0.02 0.06* 0.08 0.11*** 0.11*** 0.11** 0.12** 0.13*** 0.13*** 0.13*** 0.16*** 0.17*** 0.19*** 0.21*** 0.24***  
Online-W.3 0 0 - 0.01 0.02* 0.02* 0.05** 0.07** 0.11*** 0.11*** 0.11*** 0.11*** 0.13*** 0.13*** 0.13*** 0.16*** 0.16*** 0.18*** 0.2*** 0.24***  
UF.15 -0.01 -0.01 -0.01 - 0.01* 0.01* 0.05** 0.06* 0.1*** 0.1*** 0.1*** 0.11*** 0.12*** 0.12*** 0.12*** 0.15*** 0.16*** 0.17*** 0.19*** 0.23***  
VolcTrans-AT.0 -0.02 -0.02 -0.02 -0.01 - 0.01 0.04 0.06 0.09* 0.09* 0.1* 0.1 0.11** 0.11** 0.12** 0.14*** 0.15*** 0.17** 0.19*** 0.23***  
Facebook-AI.16 -0.03 -0.02 -0.02 -0.01 -0.01 - 0.03 0.05 0.08** 0.08** 0.09* 0.09 0.11** 0.11** 0.11** 0.13*** 0.14*** 0.16* 0.18*** 0.22***  
ICL.5 -0.06 -0.06 -0.05 -0.05 -0.04 -0.03 - 0.02 0.05* 0.05 0.06 0.06 0.08* 0.08* 0.08* 0.1** 0.11*** 0.13 0.15*** 0.19***  
Online-G.14 -0.08 -0.08 -0.07 -0.06 -0.06 -0.05 -0.02 - 0.03 0.03 0.04 0.04 0.06* 0.06* 0.06* 0.08** 0.09*** 0.11* 0.13*** 0.17***  
Online-B.11 -0.11 -0.11 -0.11 -0.1 -0.09 -0.08 -0.05 -0.03 - 0 0.01 0.01 0.02 0.02 0.03 0.05 0.06* 0.08 0.1* 0.14***  
Online-Y.1 -0.11 -0.11 -0.11 -0.1 -0.09 -0.08 -0.05 -0.03 0 - 0.01 0.01 0.02 0.02 0.03 0.05 0.06* 0.08 0.1** 0.14***  
VolcTrans-GLAT.10 -0.12 -0.11 -0.11 -0.1 -0.1 -0.09 -0.06 -0.04 -0.01 -0.01 - 0 0.02 0.02 0.02 0.04 0.05** 0.07 0.09** 0.13***  
P3AI.18 -0.12 -0.12 -0.11 -0.11 -0.1 -0.09 -0.06 -0.04 -0.01 -0.01 0 - 0.01 0.02 0.02 0.04* 0.05** 0.07 0.09** 0.13***  
SMU.17 -0.13 -0.13 -0.13 -0.12 -0.11 -0.11 -0.08 -0.06 -0.02 -0.02 -0.02 -0.01 - 0 0 0.03 0.03 0.05 0.07 0.11**  
UEdin.9 -0.13 -0.13 -0.13 -0.12 -0.11 -0.11 -0.08 -0.06 -0.02 -0.02 -0.02 -0.02 0 - 0 0.03 0.03* 0.05 0.07* 0.11**  
Nemo.7 -0.14 -0.13 -0.13 -0.12 -0.12 -0.11 -0.08 -0.06 -0.03 -0.03 -0.02 -0.02 0 0 - 0.02 0.03* 0.05 0.07* 0.11***  
Manifold.2 -0.16 -0.16 -0.16 -0.15 -0.14 -0.13 -0.1 -0.08 -0.05 -0.05 -0.04 -0.04 -0.03 -0.03 -0.02 - 0.01 0.03 0.05 0.08*  
Watermelon.13 -0.17 -0.17 -0.16 -0.16 -0.15 -0.14 -0.11 -0.09 -0.06 -0.06 -0.05 -0.05 -0.03 -0.03 -0.03 -0.01 - 0.02 0.04 0.08  
happypoet.8 -0.19 -0.19 -0.18 -0.17 -0.17 -0.16 -0.13 -0.11 -0.08 -0.08 -0.07 -0.07 -0.05 -0.05 -0.05 -0.03 -0.02* - 0.02* 0.06***  
HUMAN.0 -0.21 -0.21 -0.2 -0.19 -0.19 -0.18 -0.15 -0.13 -0.1 -0.1 -0.09 -0.09 -0.07 -0.07 -0.07 -0.05 -0.04 -0.02 - 0.04  
HuaweiTSC.6 -0.25 -0.24 -0.24 -0.23 -0.23 -0.22 -0.19 -0.17 -0.14 -0.14 -0.13 -0.13 -0.11 -0.11 -0.11 -0.08 -0.08 -0.06 -0.04 -  
