 Facebook-AI.11 Online-B.8 TRANSSION.6 ZMT.12 GTCOM.2 HuaweiTSC.4 MS-EgDC.13 P3AI.9 NiuTrans.10 Online-Y.5 Manifold.1 AMU.3 UEdin.7 TWB.0
Facebook-AI.11 - 0.13*** 0.19*** 0.19*** 0.19*** 0.22*** 0.25*** 0.28*** 0.28*** 0.34*** 0.36*** 0.42*** 0.45*** 0.51***  
Online-B.8 -0.13 - 0.06* 0.06 0.06 0.09** 0.12*** 0.15*** 0.15*** 0.21*** 0.23*** 0.29*** 0.32*** 0.39***  
TRANSSION.6 -0.19 -0.06 - 0 0 0.03 0.06 0.09** 0.09* 0.15*** 0.17*** 0.24*** 0.27*** 0.33***  
ZMT.12 -0.19 -0.06 0 - 0 0.03 0.06* 0.09** 0.09* 0.15*** 0.17*** 0.23*** 0.26*** 0.33***  
GTCOM.2 -0.19 -0.06 0 0 - 0.03 0.06* 0.09** 0.09* 0.15*** 0.17*** 0.23*** 0.26*** 0.33***  
HuaweiTSC.4 -0.22 -0.09 -0.03 -0.03 -0.03 - 0.03 0.06 0.06 0.12** 0.14*** 0.2*** 0.23*** 0.3***  
MS-EgDC.13 -0.25 -0.12 -0.06 -0.06 -0.06 -0.03 - 0.03 0.03 0.09* 0.11** 0.18*** 0.21*** 0.27***  
P3AI.9 -0.28 -0.15 -0.09 -0.09 -0.09 -0.06 -0.03 - 0 0.06 0.08* 0.14** 0.17*** 0.24***  
NiuTrans.10 -0.28 -0.15 -0.09 -0.09 -0.09 -0.06 -0.03 0 - 0.06 0.08* 0.14*** 0.17*** 0.24***  
Online-Y.5 -0.34 -0.21 -0.15 -0.15 -0.15 -0.12 -0.09 -0.06 -0.06 - 0.02 0.08* 0.12** 0.18***  
Manifold.1 -0.36 -0.23 -0.17 -0.17 -0.17 -0.14 -0.11 -0.08 -0.08 -0.02 - 0.06 0.09* 0.16***  
AMU.3 -0.42 -0.29 -0.24 -0.23 -0.23 -0.2 -0.18 -0.14 -0.14 -0.08 -0.06 - 0.03 0.09**  
UEdin.7 -0.45 -0.32 -0.27 -0.26 -0.26 -0.23 -0.21 -0.17 -0.17 -0.12 -0.09 -0.03 - 0.06*  
TWB.0 -0.51 -0.39 -0.33 -0.33 -0.33 -0.3 -0.27 -0.24 -0.24 -0.18 -0.16 -0.09 -0.06 -  
