 Facebook-AI.8 Manifold.0 NiuTrans.7 Online-B.4 HuaweiTSC.9 Mideind.1 Online-A.5 Allegro.eu.2 Online-Y.3 Online-G.6
Facebook-AI.8 - 0.18*** 0.25*** 0.26*** 0.28*** 0.28*** 0.29*** 0.33*** 0.37*** 0.55***  
Manifold.0 -0.18 - 0.07* 0.08*** 0.1** 0.1** 0.11*** 0.15*** 0.19*** 0.37***  
NiuTrans.7 -0.25 -0.07 - 0.02 0.03 0.04 0.04 0.08** 0.12** 0.3***  
Online-B.4 -0.26 -0.08 -0.02 - 0.02 0.02 0.03 0.07 0.11* 0.28***  
HuaweiTSC.9 -0.28 -0.1 -0.03 -0.02 - 0 0.01 0.05* 0.09** 0.27***  
Mideind.1 -0.28 -0.1 -0.04 -0.02 0 - 0.01 0.05* 0.09* 0.26***  
Online-A.5 -0.29 -0.11 -0.04 -0.03 -0.01 -0.01 - 0.04 0.08 0.26***  
Allegro.eu.2 -0.33 -0.15 -0.08 -0.07 -0.05 -0.05 -0.04 - 0.04 0.22***  
Online-Y.3 -0.37 -0.19 -0.12 -0.11 -0.09 -0.09 -0.08 -0.04 - 0.18***  
Online-G.6 -0.55 -0.37 -0.3 -0.28 -0.27 -0.26 -0.26 -0.22 -0.18 -  
