 HuaweiTSC.5 IIE-MT.0 NiuTrans.12 KwaiNLP.2 Facebook-AI.4 XMU.10 capitalmarvel.1 Online-B.7 MiSS.13 Online-W.15 WeChat-AI.11 Online-A.8 Online-G.9 movelikeajaguar.14 Online-Y.6 Illini.3
HuaweiTSC.5 - 0.06* 0.09* 0.11*** 0.11* 0.12*** 0.13*** 0.14*** 0.17*** 0.18*** 0.2*** 0.22*** 0.28*** 0.3*** 0.33*** 0.33***  
IIE-MT.0 -0.06 - 0.04 0.05 0.05 0.06** 0.07* 0.08** 0.11** 0.12** 0.14*** 0.16*** 0.22*** 0.24*** 0.27*** 0.27***  
NiuTrans.12 -0.09 -0.04 - 0.01 0.01 0.02* 0.03 0.04* 0.08** 0.08* 0.11*** 0.13*** 0.19*** 0.2*** 0.23*** 0.24***  
KwaiNLP.2 -0.11 -0.05 -0.01 - 0 0.01 0.02 0.03 0.06* 0.07 0.1** 0.11*** 0.17*** 0.19*** 0.22*** 0.23***  
Facebook-AI.4 -0.11 -0.05 -0.01 0 - 0.01* 0.02 0.03* 0.06* 0.07* 0.09*** 0.11*** 0.17*** 0.19*** 0.22*** 0.22***  
XMU.10 -0.12 -0.06 -0.02 -0.01 -0.01 - 0.01 0.02 0.06 0.06 0.09 0.11* 0.17*** 0.18*** 0.21*** 0.22***  
capitalmarvel.1 -0.13 -0.07 -0.03 -0.02 -0.02 -0.01 - 0.01 0.04 0.05 0.07** 0.09*** 0.15*** 0.17*** 0.2*** 0.2***  
Online-B.7 -0.14 -0.08 -0.04 -0.03 -0.03 -0.02 -0.01 - 0.03 0.04 0.06 0.08* 0.14*** 0.16*** 0.19*** 0.19***  
MiSS.13 -0.17 -0.11 -0.08 -0.06 -0.06 -0.06 -0.04 -0.03 - 0.01 0.03 0.05* 0.11*** 0.13** 0.16*** 0.16***  
Online-W.15 -0.18 -0.12 -0.08 -0.07 -0.07 -0.06 -0.05 -0.04 -0.01 - 0.02 0.04** 0.1*** 0.12*** 0.15*** 0.15***  
WeChat-AI.11 -0.2 -0.14 -0.11 -0.1 -0.09 -0.09 -0.07 -0.06 -0.03 -0.02 - 0.02 0.08* 0.09* 0.13** 0.13**  
Online-A.8 -0.22 -0.16 -0.13 -0.11 -0.11 -0.11 -0.09 -0.08 -0.05 -0.04 -0.02 - 0.06 0.08 0.11* 0.11*  
Online-G.9 -0.28 -0.22 -0.19 -0.17 -0.17 -0.17 -0.15 -0.14 -0.11 -0.1 -0.08 -0.06 - 0.02 0.05 0.05  
movelikeajaguar.14 -0.3 -0.24 -0.2 -0.19 -0.19 -0.18 -0.17 -0.16 -0.13 -0.12 -0.09 -0.08 -0.02 - 0.03 0.04  
Online-Y.6 -0.33 -0.27 -0.23 -0.22 -0.22 -0.21 -0.2 -0.19 -0.16 -0.15 -0.13 -0.11 -0.05 -0.03 - 0  
Illini.3 -0.33 -0.27 -0.24 -0.23 -0.22 -0.22 -0.2 -0.19 -0.16 -0.15 -0.13 -0.11 -0.05 -0.04 0 -  
