 Nemo.3 Online-W.2 Online-B.4 HUMAN.0 Manifold.1 Facebook-AI.8 NiuTrans.7 Online-G.6 AFRL.9 Online-A.5 Online-Y.0
Nemo.3 - 0.01 0.03* 0.05 0.08 0.08 0.09* 0.12*** 0.15*** 0.16*** 0.26***  
Online-W.2 -0.01 - 0.02* 0.04 0.07* 0.07 0.09** 0.11*** 0.14*** 0.15*** 0.25***  
Online-B.4 -0.03 -0.02 - 0.02 0.05 0.05 0.06 0.09** 0.12*** 0.13*** 0.23***  
HUMAN.0 -0.05 -0.04 -0.02 - 0.03 0.03 0.04 0.07** 0.1*** 0.11*** 0.21***  
Manifold.1 -0.08 -0.07 -0.05 -0.03 - 0 0.02 0.04* 0.07** 0.08** 0.18***  
Facebook-AI.8 -0.08 -0.07 -0.05 -0.03 0 - 0.01 0.04** 0.07*** 0.08*** 0.18***  
NiuTrans.7 -0.09 -0.09 -0.06 -0.04 -0.02 -0.01 - 0.03 0.06* 0.07* 0.17***  
Online-G.6 -0.12 -0.11 -0.09 -0.07 -0.04 -0.04 -0.03 - 0.03 0.04 0.14*  
AFRL.9 -0.15 -0.14 -0.12 -0.1 -0.07 -0.07 -0.06 -0.03 - 0.01 0.11  
Online-A.5 -0.16 -0.15 -0.13 -0.11 -0.08 -0.08 -0.07 -0.04 -0.01 - 0.1  
Online-Y.0 -0.26 -0.25 -0.23 -0.21 -0.18 -0.18 -0.17 -0.14 -0.11 -0.1 -  
