 NiuTrans.21 KwaiNLP.18 DIDI-NLP.0 HUMAN.0 HappyNewYear.16 P3AI.4 Borderline.1 ICL.11 MiSS.8 IIE-MT.6 Machine_Translation.19 SMU.2 yyds.9 Facebook-AI.5 Online-B.13 ZengHuiMT.7 HuaweiTSC.20 XMU.17 NJUSC_TSC.3 Online-G.15 Online-W.10 UF.22 Online-A.14 Online-Y.12
NiuTrans.21 - 0 0.01 0.02 0.03 0.04* 0.07** 0.07** 0.07*** 0.07** 0.07*** 0.08*** 0.08*** 0.08*** 0.08*** 0.09*** 0.1*** 0.11*** 0.11*** 0.12*** 0.13*** 0.15*** 0.15*** 0.22***  
KwaiNLP.18 0 - 0.01 0.02 0.02 0.04 0.06* 0.06* 0.07** 0.07 0.07*** 0.07** 0.07** 0.08* 0.08** 0.09** 0.1*** 0.11*** 0.11*** 0.12*** 0.13*** 0.14*** 0.14*** 0.21***  
DIDI-NLP.0 -0.01 -0.01 - 0.01 0.02 0.03 0.05** 0.06** 0.06** 0.06* 0.06*** 0.07*** 0.07*** 0.07** 0.07*** 0.08*** 0.09*** 0.1*** 0.1*** 0.11*** 0.12*** 0.13*** 0.14*** 0.21***  
HUMAN.0 -0.02 -0.02 -0.01 - 0 0.02 0.04 0.04 0.05* 0.05 0.05** 0.05* 0.05* 0.06* 0.06* 0.07* 0.08** 0.09** 0.09*** 0.1*** 0.11** 0.12*** 0.13*** 0.19***  
HappyNewYear.16 -0.03 -0.02 -0.02 0 - 0.02 0.04 0.04 0.04* 0.05 0.05** 0.05* 0.05* 0.05* 0.06* 0.07* 0.08** 0.08** 0.09*** 0.1*** 0.1** 0.12*** 0.12*** 0.19***  
P3AI.4 -0.04 -0.04 -0.03 -0.02 -0.02 - 0.02 0.03 0.03 0.03 0.03** 0.03* 0.04* 0.04 0.04* 0.05* 0.06* 0.07* 0.07*** 0.08*** 0.09** 0.1*** 0.11*** 0.17***  
Borderline.1 -0.07 -0.06 -0.05 -0.04 -0.04 -0.02 - 0 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.03 0.04 0.05 0.05* 0.06* 0.06 0.08** 0.08*** 0.15***  
ICL.11 -0.07 -0.06 -0.06 -0.04 -0.04 -0.03 0 - 0 0.01 0.01* 0.01 0.01 0.01 0.02 0.02 0.04 0.04 0.05** 0.06** 0.06 0.08*** 0.08*** 0.15***  
MiSS.8 -0.07 -0.07 -0.06 -0.05 -0.04 -0.03 -0.01 0 - 0 0 0.01 0.01 0.01 0.01 0.02 0.03 0.04 0.04* 0.05* 0.06 0.07** 0.08*** 0.14**  
IIE-MT.6 -0.07 -0.07 -0.06 -0.05 -0.05 -0.03 -0.01 -0.01 0 - 0* 0 0 0.01 0.01 0.02 0.03 0.04 0.04** 0.05** 0.06* 0.07** 0.08*** 0.14***  
Machine_Translation.19 -0.07 -0.07 -0.06 -0.05 -0.05 -0.03 -0.01 -0.01 0 0 - 0 0 0.01 0.01 0.02 0.03 0.04 0.04 0.05 0.05 0.07 0.07* 0.14*  
SMU.2 -0.08 -0.07 -0.07 -0.05 -0.05 -0.03 -0.01 -0.01 -0.01 0 0 - 0 0 0.01 0.02 0.03 0.03 0.04 0.05 0.05 0.07* 0.07** 0.14**  
yyds.9 -0.08 -0.07 -0.07 -0.05 -0.05 -0.04 -0.01 -0.01 -0.01 0 0 0 - 0 0.01 0.01 0.03 0.03 0.04 0.05 0.05 0.07* 0.07** 0.14*  
Facebook-AI.5 -0.08 -0.08 -0.07 -0.06 -0.05 -0.04 -0.01 -0.01 -0.01 -0.01 -0.01 0 0 - 0 0.01 0.03 0.03 0.04* 0.04 0.05 0.07** 0.07** 0.14**  
Online-B.13 -0.08 -0.08 -0.07 -0.06 -0.06 -0.04 -0.02 -0.02 -0.01 -0.01 -0.01 -0.01 -0.01 0 - 0.01 0.02 0.03 0.03 0.04 0.04 0.06* 0.06** 0.13**  
ZengHuiMT.7 -0.09 -0.09 -0.08 -0.07 -0.07 -0.05 -0.03 -0.02 -0.02 -0.02 -0.02 -0.02 -0.01 -0.01 -0.01 - 0.01 0.02 0.02 0.03 0.04 0.05* 0.06** 0.12**  
HuaweiTSC.20 -0.1 -0.1 -0.09 -0.08 -0.08 -0.06 -0.04 -0.04 -0.03 -0.03 -0.03 -0.03 -0.03 -0.03 -0.02 -0.01 - 0.01 0.01 0.02 0.02 0.04* 0.04** 0.11*  
XMU.17 -0.11 -0.11 -0.1 -0.09 -0.08 -0.07 -0.05 -0.04 -0.04 -0.04 -0.04 -0.03 -0.03 -0.03 -0.03 -0.02 -0.01 - 0 0.01 0.02 0.03 0.04** 0.11*  
NJUSC_TSC.3 -0.11 -0.11 -0.1 -0.09 -0.09 -0.07 -0.05 -0.05 -0.04 -0.04 -0.04 -0.04 -0.04 -0.04 -0.03 -0.02 -0.01 0 - 0.01 0.01 0.03 0.03 0.1  
Online-G.15 -0.12 -0.12 -0.11 -0.1 -0.1 -0.08 -0.06 -0.06 -0.05 -0.05 -0.05 -0.05 -0.05 -0.04 -0.04 -0.03 -0.02 -0.01 -0.01 - 0.01 0.02 0.02 0.09  
