HITId WorkerId  src trg item  hit work-seconds  accept  submit  approval
3CMV9YRYP31OZ5LSZ3N79YNQGCXJLG M0466 zh en ad 1 6090.0 "Wed Sep 15 07:01:15 2021" "Wed Sep 15 08:42:45 2021" Submitted
3LCXHSGDLT63S2UQ5B9HO4OT3Y9ES4 M0701 zh en ad 2 932.0 "Wed Sep 15 03:55:52 2021" "Wed Sep 15 04:11:24 2021" Submitted
3YGYP136419VLT7QJLCVOHD6VORNRE M0856 zh en ad 366 902.0 "Wed Sep 15 09:07:06 2021" "Wed Sep 15 09:22:08 2021" Submitted
3KA7IJSNW658872E333XSRDXDHPBPL M1534 zh en ad 3 550.0 "Wed Sep 15 06:58:47 2021" "Wed Sep 15 07:07:57 2021" Submitted
34O39PNDK68TKKITGV7MXMDCEZDBRD M1662 zh en ad 4 499.0 "Wed Sep 15 09:00:29 2021" "Wed Sep 15 09:08:48 2021" Submitted
3FJ2RVH25Z6TS7MB3LEP58AEE7U92M M1586 zh en ad 367 735.0 "Wed Sep 15 02:48:39 2021" "Wed Sep 15 03:00:54 2021" Submitted
34KYK9TV2R85LZI6VK7RNWI801WBS1 M1077 zh en ad 6 1710.0 "Wed Sep 15 07:24:27 2021" "Wed Sep 15 07:52:57 2021" Submitted
3Z8UJEJOCZDIDPIU7LSUOIF6KLU93X M0481 zh en ad 369 1389.0 "Wed Sep 15 11:09:28 2021" "Wed Sep 15 11:32:37 2021" Submitted
351S7I5UG9WEN5ODBG3MMQRFL7XJNI M1029 zh en ad 7 2871.0 "Wed Sep 15 14:13:46 2021" "Wed Sep 15 15:01:37 2021" Submitted
37J05LC5AXJ51TX0MMPJQLFL73VJD0 M0081 zh en ad 370 423.0 "Wed Sep 15 04:19:08 2021" "Wed Sep 15 04:26:11 2021" Submitted
3FHTJGYT8N04ZOAPJPVBT24UTUHGP7 M1219 zh en ad 8 525.0 "Wed Sep 15 02:34:15 2021" "Wed Sep 15 02:43:00 2021" Submitted
3UZUVSO3P7V0U7HLLEDVCVPNB9REMS M0551 zh en ad 371 6267.0 "Wed Sep 15 01:36:56 2021" "Wed Sep 15 03:21:23 2021" Submitted
3OZ4VAIBEXFRVAXMD7PDW7LS7AZVJB M0234 zh en ad 9 4758.0 "Wed Sep 15 03:10:57 2021" "Wed Sep 15 04:30:15 2021" Submitted
3FO95NVK5C0S16ZVRHTHNBNCINZSRV M0888 zh en ad 10 778.0 "Wed Sep 15 09:12:50 2021" "Wed Sep 15 09:25:48 2021" Submitted
362E9TQF2HQCI2NL6U5RK53I7GMGIV M1113 zh en ad 372 551.0 "Wed Sep 15 07:58:18 2021" "Wed Sep 15 08:07:29 2021" Submitted
3WKGUBL7SZMYWN27WW033WY7YF7L4R M1363 zh en ad 373 1684.0 "Wed Sep 15 05:47:28 2021" "Wed Sep 15 06:15:32 2021" Submitted
3ATYLI1PRT2W5QOPCV3Z1FRKBH2JOX M0755 zh en ad 13 779.0 "Wed Sep 15 02:18:37 2021" "Wed Sep 15 02:31:36 2021" Submitted
3LVTFB9DE5IPZ0B4J2A0T7U4YQ3GQY M0057 zh en ad 14 3809.0 "Wed Sep 15 01:51:50 2021" "Wed Sep 15 02:55:19 2021" Submitted
36GJS3V78VQ8DD7ROCQRW6IIKVBGJ7 M0354 zh en ad 374 1255.0 "Wed Sep 15 05:03:43 2021" "Wed Sep 15 05:24:38 2021" Submitted
324N5FAHSXBM6U34VSPPXML5MZZVKA M1589 zh en ad 16 2512.0 "Wed Sep 15 03:13:43 2021" "Wed Sep 15 03:55:35 2021" Submitted
3O0M2G5VC623VL1Y7ZXDYN7CYLQ94I M1554 zh en ad 375 1967.0 "Wed Sep 15 02:03:20 2021" "Wed Sep 15 02:36:07 2021" Submitted
37NXA7GVST6XQ0LMGS1QCMYKBZ4VLD M1372 zh en ad 20 3052.0 "Wed Sep 15 04:17:10 2021" "Wed Sep 15 05:08:02 2021" Submitted
3OCZWXS7ZO7GS667A1JD8O4LYB2L5W M1612 zh en ad 377 1322.0 "Wed Sep 15 06:36:18 2021" "Wed Sep 15 06:58:20 2021" Submitted
