SYS SID RAW.SCR Z.SCR N 
Facebook-AI.7 177 100 0.620848309044951 1 
Facebook-AI.7 178 75 -0.0250276951630604 1 
Facebook-AI.7 179 49 -0.696738739539392 1 
Facebook-AI.7 180 11 -1.67847026593557 1 
Facebook-AI.7 181 100 0.620848309044951 1 
Facebook-AI.7 182 100 0.620848309044951 1 
Facebook-AI.7 183 100 0.620848309044951 1 
Facebook-AI.7 184 100 0.620848309044951 1 
Facebook-AI.7 185 100 0.620848309044951 1 
Facebook-AI.7 186 100 0.620848309044951 1 
Facebook-AI.7 187 76 0.000807345005260014 1 
Facebook-AI.7 188 100 0.620848309044951 1 
Facebook-AI.7 189 50 -0.670903699371072 1 
Facebook-AI.7 190 100 0.620848309044951 1 
Facebook-AI.7 191 100 0.620848309044951 1 
Facebook-AI.7 192 100 0.620848309044951 1 
Facebook-AI.7 193 100 0.620848309044951 1 
Facebook-AI.7 194 100 0.620848309044951 1 
Facebook-AI.7 195 100 0.620848309044951 1 
Facebook-AI.7 196 88 0.310827827025105 1 
Facebook-AI.7 681 75 -0.566197890284393 2 
Facebook-AI.7 682 63 -1.32695837182042 1 
Facebook-AI.7 683 84.5 0.0360708242649623 2 
Facebook-AI.7 684 75 -0.566197890284392 2 
Facebook-AI.7 685 80.5 -0.217516002913713 2 
Facebook-AI.7 686 76 -0.502801183489723 1 
Facebook-AI.7 687 85 0.0677691776622967 1 
Facebook-AI.7 688 95 0.701736245608985 1 
Facebook-AI.7 689 69 -0.946578131052405 1 
Facebook-AI.7 899 96.5 0.796831305800988 2 
Facebook-AI.7 901 94.5 0.670037892211651 2 
Facebook-AI.7 904 98.5 0.923624719390326 2 
Facebook-AI.7 909 98.5 0.923624719390326 2 
Facebook-AI.7 912 84.5 0.036070824264962 2 
Facebook-AI.7 913 50 -2.15111556015111 2 
Facebook-AI.7 914 45 -2.46809909412446 2 
Facebook-AI.7 898 88 0.257959298046303 1 
Facebook-AI.7 900 99 0.95532307278766 1 
Facebook-AI.7 902 90 0.384752711635641 1 
Facebook-AI.7 903 75 -0.566197890284392 1 
Facebook-AI.7 905 95 0.701736245608985 1 
Facebook-AI.7 906 99 0.95532307278766 1 
Facebook-AI.7 907 99 0.95532307278766 1 
Facebook-AI.7 908 99 0.95532307278766 1 
Facebook-AI.7 910 99 0.95532307278766 1 
Facebook-AI.7 911 98 0.891926365992992 1 
Facebook-AI.7 915 99 0.95532307278766 1 
Facebook-AI.7 432 90 0.147148087981558 4 
Facebook-AI.7 435 92.25 0.258969024039809 4 
Facebook-AI.7 437 98.75 0.597768849114853 4 
Facebook-AI.7 438 100 0.662922661629284 4 
Facebook-AI.7 441 66 -1.09031684963921 4 
Facebook-AI.7 443 94.5 0.379580063851618 4 
Facebook-AI.7 444 99.25 0.623981927633618 4 
Facebook-AI.7 425 53.5 -1.76079916390757 2 
Facebook-AI.7 426 100 0.662922661629284 2 
Facebook-AI.7 427 66 -1.09410568746402 2 
Facebook-AI.7 428 99 0.610799611617739 2 
Facebook-AI.7 429 97 0.506856618620633 2 
