SYS SID RAW.SCR Z.SCR N 
Online-B.8 61 95 0.750840114157865 1 
Online-B.8 62 54 -0.380255213728739 1 
Online-B.8 63 96 0.778427805081928 1 
Online-B.8 64 98 0.833603186930055 1 
Online-B.8 65 39 -0.794070577589691 1 
Online-B.8 66 95 0.750840114157865 1 
Online-B.8 67 89 0.585313968613484 1 
Online-B.8 508 51 -0.695050598245404 1 
Online-B.8 509 51 -0.695050598245404 1 
Online-B.8 510 53 0.219802638711191 1 
Online-B.8 511 52 -0.237623979767107 1 
Online-B.8 512 52 -0.237623979767107 1 
Online-B.8 513 50 -1.1524772167237 1 
Online-B.8 839 60 3.42178896805927 1 
Online-B.8 840 55 1.13465587566778 1 
Online-B.8 841 52 -0.237623979767107 1 
Online-B.8 842 58 2.50693573110268 1 
Online-B.8 843 50 -1.1524772167237 1 
Online-B.8 844 55 1.13465587566778 1 
Online-B.8 208 53 0.219802638711191 1 
Online-B.8 209 50 -1.1524772167237 1 
Online-B.8 210 51 -0.695050598245404 1 
Online-B.8 211 51.5 -0.466337289006256 2 
Online-B.8 212 53 0.21980263871119 2 
Online-B.8 213 53 0.219802638711191 1 
Online-B.8 214 52 -0.237623979767107 1 
Online-B.8 215 52 -0.237623979767107 1 
Online-B.8 216 53 0.219802638711191 1 
Online-B.8 217 53 0.219802638711191 1 
Online-B.8 218 51.5 -0.466337289006256 2 
Online-B.8 219 54 0.677229257189488 1 
Online-B.8 220 51 -0.695050598245404 1 
Online-B.8 221 57 2.04950911262438 1 
Online-B.8 222 52 -0.237623979767107 2 
Online-B.8 828 82.5 0.499220324828402 2 
Online-B.8 830 39 -1.0519285416027 2 
Online-B.8 831 71 0.0891464865765005 2 
Online-B.8 833 81.5 0.463561730197802 2 
Online-B.8 838 100 1.1232457308639 2 
Online-B.8 829 83 0.517049622143702 1 
Online-B.8 832 82 0.481391027513102 1 
Online-B.8 834 11 -2.05036919125951 1 
Online-B.8 835 80 0.410073838251902 1 
Online-B.8 836 86 0.624025406035502 1 
Online-B.8 837 79 0.374415243621301 1 
Online-B.8 336 62.5 -0.184906187304744 2 
Online-B.8 337 22 -1.68100358952554 1 
Online-B.8 338 91 0.867903095739521 1 
Online-B.8 339 58 -0.351139231995945 1 
Online-B.8 340 56 -0.425020585192034 1 
Online-B.8 341 90 0.830962419141477 1 
Online-B.8 342 79 0.424614976562988 1 
Online-B.8 343 91 0.867903095739523 2 
Online-B.8 344 56 -0.425020585192034 1 
Online-B.8 345 92 0.904843772337566 2 
Online-B.8 346 78 0.387674299964943 1 
Online-B.8 347 70 0.092148887180588 2 
Online-B.8 348 89 0.794021742543432 1 
Online-B.8 349 58 -0.351139231995945 1 
Online-B.8 350 81.5 0.516966668058099 2 
Online-B.8 351 61 -0.240317202201812 1 
Online-B.8 352 90.5 0.849432757440499 2 
Online-B.8 353 89.5 0.812492080842454 2 
Online-B.8 354 84 0.60931835955321 1 
Online-B.8 355 95 1.0156658021317 2 
Online-B.8 356 90 0.830962419141477 1 
Online-B.8 982 44.5 -0.124366079254837 2 
Online-B.8 983 43 -0.247121195074288 2 
Online-B.8 984 43 -0.247121195074288 2 
Online-B.8 985 47.5 0.121144152384067 2 
Online-B.8 986 45 -0.083447707315019 2 
Online-B.8 987 43.5 -0.206202823134471 2 
Online-B.8 988 45 -0.083447707315019 2 
Online-B.8 989 44 -0.165284451194654 2 
Online-B.8 990 45.5 -0.042529335375202 2 
Online-B.8 991 45.5 -0.042529335375202 2 
Online-B.8 992 44.5 -0.124366079254837 2 
Online-B.8 993 44 -0.165284451194654 2 
Online-B.8 994 43.5 -0.206202823134471 2 
Online-B.8 995 42 -0.328957938953923 2 
Online-B.8 996 46.5 0.0393074085044325 2 
Online-B.8 997 43.5 -0.206202823134471 2 
Online-B.8 910 12.5 -1.82307864201308 2 
Online-B.8 911 75 0.160778789421628 1 
Online-B.8 912 75 0.160778789421628 1 
Online-B.8 913 75 0.160778789421628 1 
Online-B.8 914 81 0.35122910283936 2 
Online-B.8 915 12.5 -1.82307864201308 2 
Online-B.8 916 75 0.160778789421628 1 
Online-B.8 917 87 0.541679416257093 1 
Online-B.8 514 87 1.20837376279019 1 
Online-B.8 515 91 1.31785832861409 1 
Online-B.8 516 51 0.223012670375091 1 
Online-B.8 517 50 0.195641528919116 1 
Online-B.8 518 34 -0.242296734376484 1 
Online-B.8 519 25 -0.488637007480259 1 
Online-B.8 520 0 -1.17291554387963 1 
Online-B.8 521 0 -1.17291554387963 1 
Online-B.8 522 0 -1.17291554387963 1 
Online-B.8 523 6 -1.00868869514378 1 
Online-B.8 524 21 -0.598121573304159 1 
Online-B.8 525 66 0.633579792214717 1 
Online-B.8 526 51 0.223012670375091 1 
Online-B.8 527 11 -0.87183298786391 1 
Online-B.8 455 23.25 -1.10533874533164 4 
Online-B.8 456 58.25 0.0152609554673284 4 
Online-B.8 457 29.5 -0.86433056763496 4 
Online-B.8 458 19.25 -1.25958397905751 4 
Online-B.8 453 85.5 0.794817814340385 2 
Online-B.8 454 88.5 0.898446682039923 2 
Online-B.8 459 79 0.586362011117866 2 
Online-B.8 460 54 -0.106431903784385 2 
Online-B.8 461 58 -0.319865926701895 2 
Online-B.8 462 85 0.757454573732353 2 
Online-B.8 463 43 -0.62704675728946 2 
Online-B.8 464 76.5 0.52612391282379 2 
Online-B.8 465 35.5 -0.771595879387095 2 
Online-B.8 466 65.5 0.216472567228853 2 
Online-B.8 467 47.5 -0.483658513335017 2 
Online-B.8 145 63 -1.19083692517413 1 
Online-B.8 146 65 -1.07188538781472 1 
Online-B.8 147 84 0.0581542170996401 1 
Online-B.8 148 86 0.177105754459047 1 
Online-B.8 149 79 -0.239224626298877 1 
Online-B.8 150 71 -0.715030775736504 1 
Online-B.8 359 82.5 0.272681920953667 2 
Online-B.8 361 82 0.234425056715801 2 
Online-B.8 357 90 0.846534884521655 1 
Online-B.8 358 85 0.463966242142996 1 
Online-B.8 360 87 0.61699369909446 1 
Online-B.8 362 88 0.693507427570191 1 
Online-B.8 646 52 -0.0414399636096665 1 
Online-B.8 647 51 -0.10036213566948 1 
Online-B.8 648 68 0.901314789347343 1 
Online-B.8 649 75 1.31376999376603 1 
Online-B.8 650 55 0.135326552569773 1 
Online-B.8 651 53 0.0174822084501466 1 
Online-B.8 652 68 0.901314789347343 1 
Online-B.8 653 42 -0.630661684207797 1 
Online-B.8 654 56 0.194248724629586 1 
Online-B.8 655 65 0.724548273167903 1 
Online-B.8 656 60 0.429937412868838 1 
Online-B.8 657 63 0.606703929048277 1 
Online-B.8 658 50 -0.159284307729293 1 
Online-B.8 659 47 -0.336050823908732 1 
Online-B.8 660 51 -0.10036213566948 1 
Online-B.8 238 93 0.235649441451497 1 
Online-B.8 239 95 0.341345061319314 1 
Online-B.8 240 94 0.288497251385405 1 
Online-B.8 241 84 -0.23998084795368 1 
Online-B.8 242 96 0.394192871253222 1 
Online-B.8 243 96 0.394192871253222 1 
Online-B.8 244 90 0.077106011649771 1 
Online-B.8 245 95 0.341345061319314 1 
Online-B.8 246 95 0.341345061319314 1 
Online-B.8 247 96 0.394192871253222 1 
Online-B.8 248 90 0.077106011649771 1 
Online-B.8 249 94 0.288497251385405 1 
Online-B.8 857 90 0.429177479610996 2 
Online-B.8 858 93 0.52188791851799 2 
Online-B.8 859 93.5 0.584210470631485 2 
Online-B.8 860 86 0.251996918444722 2 
Online-B.8 861 87 0.29629205873629 2 
Online-B.8 862 88.5 0.362734769173643 2 
Online-B.8 863 75.5 -0.213102054616745 2 
Online-B.8 430 80 0.142876339080361 1 
Online-B.8 431 61 -0.813340023492726 1 
Online-B.8 432 89 0.59582093187814 1 
Online-B.8 433 38 -1.97086509397594 1 
Online-B.8 434 94 0.847456816765794 1 
Online-B.8 435 62 -0.763012846515196 1 
Online-B.8 436 98 1.04876552467592 1 
Online-B.8 437 52 -1.2662846162905 1 
Online-B.8 438 86 0.444839400945547 1 
Online-B.8 439 91 0.696475285833202 1 
Online-B.8 440 73 -0.209413899762355 1 
Online-B.8 441 94 0.847456816765794 1 
Online-B.8 442 41 -1.81988356304335 1 
Online-B.8 443 91 0.696475285833202 1 
Online-B.8 444 55 -1.11530308535791 1 
Online-B.8 445 72 -0.259741076739886 1 
Online-B.8 446 89 0.59582093187814 1 
Online-B.8 447 67 -0.511376961627541 1 
Online-B.8 448 89 0.59582093187814 1 
Online-B.8 449 99 1.09909270165345 1 
Online-B.8 450 21 -2.82642710259396 1 
Online-B.8 451 75 -0.108759545807293 1 
Online-B.8 452 94 0.847456816765794 1 
Online-B.8 23 76 -0.0584323688297624 1 
Online-B.8 24 86 0.444839400945547 1 
Online-B.8 25 78 0.0422219851252994 1 
Online-B.8 26 90 0.646148108855671 1 
Online-B.8 27 76 -0.0584323688297624 1 
Online-B.8 28 82 0.243530693035423 1 
Online-B.8 29 89 0.59582093187814 1 
Online-B.8 872 88.5 1.08526127739672 2 
Online-B.8 873 84 0.948378440283949 2 
Online-B.8 874 27.5 -0.770261625687492 2 
Online-B.8 875 60 0.218336642349177 2 
Online-B.8 876 56.5 0.111872213483689 2 
Online-B.8 877 47.5 -0.16189346074185 2 
Online-B.8 880 57 0.127081417607331 2 
Online-B.8 878 47 -0.177102664865491 1 
Online-B.8 879 43 -0.29877629785462 1 
Online-B.8 387 75 -0.398208204749677 1 
Online-B.8 388 76 -0.332771229717809 1 
Online-B.8 389 75 -0.398208204749677 1 
Online-B.8 390 49 -2.09956955557824 2 
Online-B.8 391 95 0.910531295887679 1 
Online-B.8 392 90 0.58334642072834 1 
Online-B.8 393 87.5 0.419753983148671 2 
Online-B.8 394 100 1.23771617104702 1 
Online-B.8 395 88 0.452472470664604 1 
Online-B.8 396 79 -0.136460304622206 2 
