SYS SID RAW.SCR Z.SCR N 
Facebook-AI.4 483 86 0.112642156069778 2 
Facebook-AI.4 481 98 1.01551894724566 1 
Facebook-AI.4 482 97 0.940279214647672 1 
Facebook-AI.4 484 94 0.714560016853701 1 
Facebook-AI.4 485 93 0.63932028425571 1 
Facebook-AI.4 486 95 0.789799749451691 1 
Facebook-AI.4 487 78 -0.489275704714145 1 
Facebook-AI.4 488 87 0.187881888667768 1 
Facebook-AI.4 489 90 0.413601086461739 1 
Facebook-AI.4 490 82 -0.188316774322184 1 
Facebook-AI.4 491 89 0.338361353863749 1 
Facebook-AI.4 492 80 -0.338796239518164 1 
Facebook-AI.4 775 88.5 0.300741487564754 2 
Facebook-AI.4 776 93.5 0.676940150554705 2 
Facebook-AI.4 777 89 0.338361353863749 1 
Facebook-AI.4 778 73 -0.865474367704096 2 
Facebook-AI.4 779 84.5 -0.000217442827208009 2 
Facebook-AI.4 780 90.5 0.451220952760734 2 
Facebook-AI.4 781 92 0.56408055165772 1 
Facebook-AI.4 43 19 -0.2423762120293 1 
Facebook-AI.4 44 15 -0.37562573141494 1 
Facebook-AI.4 45 1 -0.841999049264679 1 
Facebook-AI.4 46 7 -0.64212477018622 1 
Facebook-AI.4 47 20 -0.20906383218289 1 
Facebook-AI.4 48 0 -0.875311429111089 1 
Facebook-AI.4 633 21 -0.17575145233648 1 
Facebook-AI.4 634 24.5 -0.0591581228740455 2 
Facebook-AI.4 635 34 0.257309485666849 1 
Facebook-AI.4 636 100 2.45592655552991 1 
Facebook-AI.4 637 21 -0.17575145233648 2 
Facebook-AI.4 638 8 -0.60881239033981 1 
Facebook-AI.4 639 38 0.390559005052489 1 
Facebook-AI.4 159 27 -0.567197265475316 2 
Facebook-AI.4 160 26 -0.606044154382705 2 
Facebook-AI.4 161 21 -0.698833628376757 2 
Facebook-AI.4 162 3 -1.33608348004465 2 
Facebook-AI.4 163 13.5 -0.983140505561138 2 
Facebook-AI.4 164 51.5 0.160527202806819 2 
Facebook-AI.4 165 35.5 -0.334216806532785 2 
Facebook-AI.4 166 52 0.189813352729961 2 
Facebook-AI.4 167 3 -1.33608348004465 2 
Facebook-AI.4 168 33.5 -0.287922287017359 2 
Facebook-AI.4 169 25 -0.658980622532163 2 
Facebook-AI.4 170 41 -0.1726903607378 2 
Facebook-AI.4 171 8.5 -1.1604674550076 2 
Facebook-AI.4 172 14 -0.998941009212616 2 
Facebook-AI.4 173 12.5 -1.04171280540742 2 
Facebook-AI.4 174 44.5 -0.06349645012187 2 
Facebook-AI.4 175 22.5 -0.675787243120842 2 
Facebook-AI.4 176 38.5 -0.248673214143169 2 
Facebook-AI.4 177 51.5 0.183070529594129 2 
Facebook-AI.4 178 20.5 -0.801385590358654 2 
Facebook-AI.4 179 27 -0.575651013020557 2 
Facebook-AI.4 180 33 -0.418653407483395 2 
Facebook-AI.4 218 69 -0.654580528193235 1 
Facebook-AI.4 219 70 -0.570489393585192 1 
Facebook-AI.4 220 80 0.270421952495236 2 
Facebook-AI.4 221 71.5 -0.444352691673128 2 
Facebook-AI.4 222 78 0.10223968327915 2 
Facebook-AI.4 318 94 0.627117164598352 1 
Facebook-AI.4 319 94 0.627117164598352 1 
Facebook-AI.4 320 52 -1.11038296985106 1 
Facebook-AI.4 321 77 -0.0761566993454586 1 
Facebook-AI.4 322 93 0.585748113778128 1 
Facebook-AI.4 323 94 0.627117164598352 1 
Facebook-AI.4 324 100 0.875331469519697 1 
Facebook-AI.4 325 95 0.668486215418576 1 
Facebook-AI.4 326 100 0.875331469519697 1 
Facebook-AI.4 327 92 0.544379062957904 1 
Facebook-AI.4 328 94 0.627117164598352 1 
Facebook-AI.4 329 95 0.668486215418576 1 
Facebook-AI.4 922 99 0.0953802591848477 2 
Facebook-AI.4 925 99 0.0953802591848477 2 
Facebook-AI.4 923 99 0.0953802591848477 1 
Facebook-AI.4 924 99 0.0953802591848477 1 
Facebook-AI.4 926 99 0.0953802591848477 1 
Facebook-AI.4 927 99 0.0953802591848477 1 
Facebook-AI.4 98 99 0.0953802591848477 1 
Facebook-AI.4 99 99 0.0953802591848477 1 
Facebook-AI.4 100 99 0.0953802591848477 1 
Facebook-AI.4 101 99 0.0953802591848477 1 
Facebook-AI.4 102 99 0.0953802591848477 1 
Facebook-AI.4 103 99 0.0953802591848477 2 
Facebook-AI.4 104 99 0.0953802591848477 1 
Facebook-AI.4 105 99 0.0953802591848477 2 
Facebook-AI.4 106 100 0.212871124270087 1 
Facebook-AI.4 107 99 0.0953802591848477 1 
Facebook-AI.4 108 100 0.212871124270087 1 
Facebook-AI.4 109 99 0.0953802591848477 2 
Facebook-AI.4 110 99 0.0953802591848477 2 
Facebook-AI.4 68 75 -0.374665149861444 1 
Facebook-AI.4 69 76 -0.262086830531916 1 
