74.4 0.248 923 1204 Facebook-AI.11 Facebook-AI
68.8 0.118 962 1173 Online-B.8 Online-B
66.6 0.062 976 1358 TRANSSION.6 TRANSSION
66.5 0.059 988 1240 ZMT.12 ZMT
69 0.059 951 1213 GTCOM.2 GTCOM
65.3 0.029 925 1259 HuaweiTSC.4 HuaweiTSC
65.2 0.002 904 1167 MS-EgDC.13 MS-EgDC
60.1 -0.031 970 1250 P3AI.9 P3AI
62.4 -0.032 879 1174 NiuTrans.10 NiuTrans
63.5 -0.09 942 1131 Online-Y.5 Online-Y
59.6 -0.112 940 1292 Manifold.1 Manifold
60.4 -0.173 940 1339 AMU.3 AMU
58.2 -0.205 967 1310 UEdin.7 UEdin
56.9 -0.267 904 1211 TWB.0 TWB
