RAW.SCR Z.SCR N SYS N.ALL 
73.1252711496746 0.107625492583626 922 Online-B.4 1094 
73.9169246646027 0.129771917234066 969 Online-W.2 1150 
73.3341611479029 0.08853228945792 906 HUMAN.0 1056 
63.8665132336018 -0.0224048020649498 869 Online-A.5 1023 
65.5084498834499 -0.0135163817372519 858 AFRL.9 1012 
77.4935822637106 0.13729357589366 857 Nemo.3 1000 
69.0801940639269 -0.123112903413582 876 Online-Y.0 1050 
70.3622222222222 0.0557881411881664 900 Facebook-AI.8 1046 
71.7447397563677 0.0598285965961659 903 Manifold.1 1048 
68.4944196428571 0.0440085825362087 896 NiuTrans.7 1029 
65.1455479452055 0.0162687177472133 876 Online-G.6 991 
