RAW.SCR Z.SCR N SYS N.ALL 
67.617033948779 -0.0684847143069872 1679 XMU.17 1968 
73.6241100323625 -0.0422568581495734 1545 Online-B.13 1753 
71.7022129570237 0.0156972026310484 1559 HappyNewYear.16 1854 
68.9726438962682 -0.173858276306246 1581 Online-Y.12 1907 
66.7352853745541 -0.106385557611618 1682 Online-A.14 1947 
70.6964660601819 -0.0361290763576216 1429 yyds.9 1751 
73.076565726084 -0.0311303766151862 1453 IIE-MT.6 1720 
72.8033145716073 -0.0318004975929301 1599 Machine_Translation.19 1874 
70.5588996763754 -0.0341324069373565 1545 SMU.2 1851 
70.4864590385917 -0.0229831638108103 1477 Borderline.1 1667 
72.9518733850129 -0.0623277457740776 1548 HuaweiTSC.20 1843 
70.0954487989886 -0.0289799093004718 1582 MiSS.8 1832 
72.5767419962335 -0.0261165146964498 1593 ICL.11 1943 
72.8510410287814 -0.0867700190095457 1633 Online-W.10 1917 
73.9832076764907 -0.000538578434978459 1459 P3AI.4 1710 
74.1066104990279 0.0187341928280916 1543 HUMAN.0 1801 
74.9686018957346 0.0422037220877673 1688 NiuTrans.21 1876 
70.125081645983 -0.0372891417660125 1531 Facebook-AI.5 1787 
75.6411007025761 0.0312478907113051 1708 DIDI-NLP.0 2053 
72.1108389467238 -0.0815119553942112 1633 Online-G.15 1896 
73.4622347066167 -0.0501329101123155 1602 ZengHuiMT.7 1882 
76.0431701030928 -0.0724436344247486 1552 NJUSC_TSC.3 1835 
70.1273777173913 -0.103118495883166 1472 UF.22 1724 
77.0291508238276 0.0386077000337089 1578 KwaiNLP.18 1877 
