wid hit.count mean.bad.ref mean.sys.out mean.ref min.hit.time mean.hit.time mean.concurrent max.concurrent max.const.seq.len reject.rate scores.flag time.flag seq.flag reject.flag 
M0649 4 47.9 91.8 99.5 679 953.2 1 1 7 0 - - - - 
M1667 1 64.1 55.4 63.7 1026 1026 1 1 2 0 flag(scrs) - - - 
M0348 1 40 44.1 41.3 470 470 1 1 2 0 - - - - 
M1456 1 60.8 69.2 53.4 1736 1736 1 1 2 0 - - - - 
M0712 4 53.4 68 98.2 387.5 1177.4 1.5 2 5 0 - - - - 
M0252 4 53.3 59.8 67.4 982 3284.5 1 1 2 0 - - - - 
M0976 1 50.9 69.9 100 2258 2258 1 1 2 0 - - - - 
M1447 1 67.1 61.3 75.3 2449 2449 1 1 2 0 flag(scrs) - - - 
M0295 1 78 75.6 80.4 2728 2728 1 1 2 0 flag(scrs) - - - 
M0255 2 77.1 75.5 83.9 1697 2277 1 1 3 0.5 flag(scrs) - - - 
M0725 1 71.4 70.3 69.7 2666 2666 1 1 2 0 flag(scrs) - - - 
M0740 2 57.3 80.9 99.4 1119 2696.5 1 1 5 0 - - - - 
M1662 10 83.6 81.1 84.8 499 1469.3 1.4 2 9 0.2 flag(scrs) - - - 
M0007 2 41.9 47.8 44.3 206 256.5 1 1 2 0 - flag(time) - - 
M0590 1 73.9 89.4 98.1 2670 2670 1 1 3 0 - - - - 
M1469 6 77.2 72.9 82.3 561 1656.3 1 1 3 0 flag(scrs) - - - 
M0186 1 70.7 64.7 89.7 7020 7020 1 1 3 0 flag(scrs) - - - 
M0596 1 15.2 85 100 1817 1817 1 1 6 0 - - - - 
M0171 1 77.1 81.8 72 882 882 1 1 2 0 - - - - 
M1518 3 57.7 50.8 49 412 966.8 2.7 3 3 0 flag(scrs) - - - 
M0160 2 72.2 75.5 79 459 688 1 1 2 0 - - - - 
M0895 2 77.9 74.4 76 340 820 1 1 2 0 flag(scrs) - - - 
M0840 1 31.9 82 99.1 971 971 1 1 3 0 - - - - 
M1498 1 20.3 84.3 100 1270 1270 1 1 9 0 - - - - 
M1608 28 79.8 81.5 84 35.9 875.1 6.6 14 23 0 - flag(time) flag(seq) - 
M1195 5 53.8 58 56.2 298 726.6 3 4 2 0 - flag(time) - - 
M1130 1 82.3 82.9 71.5 245 245 1 1 3 1 - flag(time) - - 
M0145 10 43.9 66.2 98.7 211 1566.2 1.9 3 4 0.9 - flag(time) - - 
M0818 1 2.8 79.6 99.2 1165 1165 1 1 4 0 - - - - 
M0581 1 74.9 73.1 74.1 1026 1026 1 1 2 0 flag(scrs) - - - 
M0184 6 78.3 79.8 79.7 581 1532.2 1 1 2 0 - - - - 
M0997 3 85.1 83.1 89.6 205 252.2 2 2 8 0 flag(scrs) flag(time) - - 
M1330 8 61.2 79.1 99.6 1861 3494.4 1 1 4 0 - - - - 
M1089 4 59.4 56.3 55.4 1971 2743.8 1 1 19 0.25 flag(scrs) - flag(seq) - 
M0369 2 90.8 90.2 92.1 1240 1594 1 1 4 0 flag(scrs) - - - 
M0258 1 87.4 82.5 74.6 844 844 1 1 2 0 flag(scrs) - - - 
M0350 1 76.4 80.2 91.7 5527 5527 1 1 0 0 - - - - 
M0416 2 55.9 57.5 53.8 456 872 1 1 0 0 - - - - 
M0659 2 84.2 83.7 83.8 489 588.5 1 1 3 0 flag(scrs) - - - 
M0095 1 0 0 0 147 147 1 1 94 1 flag(scrs) flag(time) flag(seq) - 
M1248 2 64.4 63.6 76.1 281 1531.5 1 1 3 0 flag(scrs) flag(time) - - 
M1612 23 71.9 72.5 99.2 396 1611.8 1.7 3 7 0 - - - - 
M0550 1 48.8 50.1 49.7 1585 1585 1 1 0 0 - - - - 
M1055 7 75.6 75.7 74.4 737 1350 1 1 3 0 - - - - 
M0495 9 72 72.3 72.4 75.5 126 3.6 4 2 0.56 - flag(time) - - 
M1600 1 79.8 79.6 94.9 2219 2219 1 1 2 0 flag(scrs) - - - 
M1030 1 16.4 67.7 99 5589 5589 1 1 3 0 - - - - 
