 Facebook-AI.7 Online-A.5 CUNI-DocTransformer.4 Online-B.0 CUNI-Transformer2018.1 Online-W.2 Online-G.6 Online-Y.3 HUMAN.0
Facebook-AI.7 0.12 0.12 0.0115037453829534 0.0108995991579319 0.000421060425817461 0.000714347323803568 5.27901288885028e-07 7.7810784403416e-08 4.70229646110458e-07
Online-A.5 0.12 0.12 0.006355675763742 0.00828899465042111 0.000285293013643834 0.000440955701407149 3.9391424389725e-07 6.17948540206474e-08 2.50346681683819e-07
CUNI-DocTransformer.4 0.12 0.12 0.12 0.12 0.12 0.12 0.00965918763509262 0.0039113503818445 0.0102103257537347
Online-B.0 0.12 0.12 0.12 0.12 0.12 0.12 0.0159257132891915 0.00516361125491128 0.00901696273773709
CUNI-Transformer2018.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.037548187032584 0.12
Online-W.2 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0328374844358195 0.12
Online-G.6 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-Y.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
HUMAN.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

