 Borderline.4 Online-A.12 Online-W.3 UF.15 VolcTrans-AT.0 Facebook-AI.16 ICL.5 Online-G.14 Online-B.11 Online-Y.1 VolcTrans-GLAT.10 P3AI.18 SMU.17 UEdin.9 Nemo.7 Manifold.2 Watermelon.13 happypoet.8 HUMAN.0 HuaweiTSC.6
Borderline.4 0.12 0.12 0.12 0.12 0.12 0.0474054122217747 0.0157427123966154 0.0408085606964738 0.000194646800423495 0.000183812576070048 0.0011271562574572 0.00210278190116814 6.2210632314258e-06 6.29243968854318e-05 8.92671708588075e-06 1.03005292812622e-06 7.20886485439312e-09 0.000217317642339033 2.50713640971099e-09 1.33508244989248e-13
Online-A.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0333676417586023 0.12 0.00038326236437494 0.000375495382701993 0.00275082572340511 0.00688989535262895 2.61400643876245e-05 0.000201198346273266 7.09222785550217e-05 2.9494377608351e-06 2.3073284791133e-08 0.00064110047323646 1.3610376744234e-08 1.85806225137295e-11
Online-W.3 0.12 0.12 0.12 0.12 0.0149626599151621 0.0158946363306808 0.0016003218531229 0.00701868063404743 9.47770402310603e-06 1.12190048640221e-05 8.83141175109189e-05 0.000188855426441197 3.94296430975867e-07 3.06737636803096e-06 3.68890944330703e-07 4.93721379831997e-08 3.80545444036524e-10 8.24861463159679e-06 5.45978695158355e-11 6.20949506091672e-14
UF.15 0.12 0.12 0.12 0.12 0.0270297398839273 0.0225927969476472 0.00242116796591202 0.0147543714863669 1.38097784514423e-05 1.09046763874739e-05 0.000261084067689031 0.000811438314181084 6.55777864331169e-07 6.08036460204262e-06 1.0202905860801e-06 1.35757660141695e-07 2.22610610895664e-10 6.02785716333897e-05 1.01606645653063e-10 5.54875300699706e-14
VolcTrans-AT.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0100492063628852 0.0132556359630095 0.0352161363699873 0.12 0.00174016763104966 0.00603236150851449 0.0020302104615838 0.000174877751345824 3.78649326543648e-06 0.00980334127931368 2.14714164015756e-06 2.12366235063405e-09
Facebook-AI.16 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00733047061764157 0.00692308626176767 0.0359776844728294 0.12 0.00102220280001401 0.00491078700640967 0.00175378811652833 0.000167050032902561 2.36372437822658e-06 0.0124489797326772 1.70591524304804e-06 4.81830185466469e-09
ICL.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0495362680521608 0.12 0.12 0.12 0.0114625435641183 0.0404024332077011 0.0164317081636249 0.00198326543736882 7.56763928570748e-05 0.12 3.99521096945492e-05 2.83634053740611e-07
Online-G.14 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0137364595711242 0.0381516133148291 0.0136020130696885 0.00289930221090498 0.000296892863334309 0.033036529327726 7.72078573204e-05 7.4554465919709e-07
Online-B.11 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0166687960892054 0.12 0.0128957230100277 0.000251854588978022
Online-Y.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0147720973611694 0.12 0.0092591670931836 0.000418786837048163
VolcTrans-GLAT.10 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00753042000843725 0.12 0.00489186667958564 7.68292806005548e-05
P3AI.18 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0308571787806497 0.00482867364437099 0.12 0.00192606018080818 2.22391179758426e-05
SMU.17 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00263937662774124
UEdin.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0311936389673461 0.12 0.0156529130198658 0.00123649626687595
Nemo.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0455777846382196 0.12 0.0319240292512621 0.000632738208091603
Manifold.2 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0202376143840455
Watermelon.13 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
happypoet.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0211082094587631 0.000966711383298823
HUMAN.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
HuaweiTSC.6 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

