 Facebook-AI.11 Online-B.8 TRANSSION.6 ZMT.12 GTCOM.2 HuaweiTSC.4 MS-EgDC.13 P3AI.9 NiuTrans.10 Online-Y.5 Manifold.1 AMU.3 UEdin.7 TWB.0
Facebook-AI.11 0.12 0.000259758094665093 1.89700170766818e-08 1.56204625771348e-06 1.69816051707323e-07 2.97455094134963e-10 5.50627890687683e-11 4.09470368559826e-14 1.55243516392505e-12 1.61176555454473e-18 2.06058167146825e-20 4.50164554758218e-25 7.39779018441981e-30 4.33386185839996e-38
Online-B.8 0.12 0.12 0.0247473372149521 0.12 0.12 0.00331225604451758 0.000975063216316819 1.56328568662896e-05 0.000176625501614748 5.92318831390718e-08 1.43055763408697e-09 8.39437452529484e-13 1.04395706011487e-15 5.55246682048996e-22
TRANSSION.6 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00838621546105519 0.0340228007938902 0.00016411870274878 1.05190770786976e-05 2.32293251670101e-08 1.16056903179142e-10 4.19582785830078e-16
ZMT.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0368954261350779 0.00390723727467307 0.0108839096671433 4.81094621577532e-05 3.34301338187763e-06 9.24566991051376e-09 4.07528777080128e-11 3.71126487109196e-16
GTCOM.2 0.12 0.12 0.12 0.12 0.12 0.12 0.0475709690783694 0.0050454461261446 0.0164431168202986 5.46172550077891e-05 3.72755952755158e-06 9.2616023411846e-09 3.36463347191766e-11 6.76149067437568e-17
HuaweiTSC.4 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00312766395190745 0.000310012056813144 1.6812434149225e-06 1.59226155291229e-08 3.08089816219305e-13
MS-EgDC.13 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0200945770620266 0.00441343147152326 6.80019975362935e-05 1.76301239689392e-06 2.44832102720015e-10
P3AI.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.037002755199829 0.00114485450623507 4.1226193090939e-05 1.14599785119525e-08
NiuTrans.10 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0146408634085279 0.00034699515420787 1.32811864604524e-05 2.75526406236722e-09
Online-Y.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.027782026165272 0.00266324001950877 3.72594377682282e-06
Manifold.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0238287855446909 0.000136453699364696
AMU.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00958611522162248
UEdin.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0437144552468413
TWB.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

