 Facebook-AI.8 Manifold.0 NiuTrans.7 Online-B.4 HuaweiTSC.9 Mideind.1 Online-A.5 Allegro.eu.2 Online-Y.3 Online-G.6
Facebook-AI.8 0.12 0.000263191668196929 4.93660757012301e-08 2.08520425888237e-11 6.12718650121195e-09 2.16567331138456e-10 2.22788377603412e-11 1.12729458193558e-13 4.95612978530453e-15 6.51414831295036e-36
Manifold.0 0.12 0.12 0.0265366006339616 0.000791488779214193 0.00784898983348008 0.00233691792819884 0.000793754781665217 2.83780550632586e-05 2.64218629367009e-06 6.38281527775068e-21
NiuTrans.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00503974445487272 0.00348332797249827 4.78341738593944e-15
Online-B.4 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0434366093273526 3.89130729740307e-12
HuaweiTSC.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0249578793364498 0.00987385621380726 3.22371634249816e-14
Mideind.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0379252376064837 0.0183007833862451 2.05773305702796e-13
Online-A.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.15094858969848e-11
Allegro.eu.2 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.69148532428686e-07
Online-Y.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 8.91948893302596e-07
Online-G.6 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

