 HuaweiTSC.5 IIE-MT.0 NiuTrans.12 KwaiNLP.2 Facebook-AI.4 XMU.10 capitalmarvel.1 Online-B.7 MiSS.13 Online-W.15 WeChat-AI.11 Online-A.8 Online-G.9 movelikeajaguar.14 Online-Y.6 Illini.3
HuaweiTSC.5 0.12 0.0430182705354417 0.025515240856674 0.000654308079518939 0.0153121349772892 5.77984625583065e-05 0.000341421678819633 2.78563808400475e-05 9.27125242648681e-06 3.37097838257526e-05 3.68898477270638e-08 2.08691332239339e-10 3.09240039436359e-14 1.63691275708829e-13 9.09507743166995e-15 3.61281065913312e-15
IIE-MT.0 0.12 0.12 0.12 0.12 0.12 0.0077891192447122 0.0340241110762251 0.00552474045071257 0.00307837008148349 0.00860139122309426 1.76711168733271e-05 7.11205908854531e-07 7.51469902811685e-10 1.03782139543342e-09 5.67944755031412e-11 5.55960080171024e-11
NiuTrans.12 0.12 0.12 0.12 0.12 0.12 0.0186085045542838 0.12 0.0101518522565524 0.0044784686018415 0.0168460158243434 7.98304560993967e-05 1.53599884786096e-06 2.39122875489316e-09 7.4132628757846e-09 4.80607386952028e-10 3.16625433918543e-10
KwaiNLP.2 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0424268830881828 0.12 0.00195969843449552 7.21621568027212e-05 3.66957402382952e-07 5.90535583228593e-07 8.15661719737689e-08 3.50636673664966e-08
Facebook-AI.4 0.12 0.12 0.12 0.12 0.12 0.0465420663300866 0.12 0.0389796340194147 0.0202508388407796 0.0375617083363138 0.000373392652534267 1.80938156728515e-05 4.17722160531174e-08 8.24097515683985e-08 8.67689577790763e-09 4.00672880133644e-09
XMU.10 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0103407436445904 0.000423449678950797 0.00046860582911644 2.08088915368973e-05 2.99749862521763e-05
capitalmarvel.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00829450568973172 0.000822389643203163 6.7597816534236e-06 1.26818587590452e-05 1.13700572037565e-06 7.59731205506538e-07
Online-B.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0144351974802039 0.000412178070620988 0.000679450139308695 5.11323032894911e-05 3.61327565632202e-05
MiSS.13 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0211427566617174 0.000717647546882222 0.00143011191599887 0.000206073103826989 9.00395332563479e-05
Online-W.15 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00718336809319802 0.000189509596468344 0.000340970415609398 2.73061483474269e-05 2.16113167330069e-05
WeChat-AI.11 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0411422374982127 0.0481820304493735 0.00771669246482268 0.00730895737712165
Online-A.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.039672760516748 0.028300613507208
Online-G.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
movelikeajaguar.14 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-Y.6 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Illini.3 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

