 Nemo.3 Online-W.2 Online-B.4 HUMAN.0 Manifold.1 Facebook-AI.8 NiuTrans.7 Online-G.6 AFRL.9 Online-A.5 Online-Y.0
Nemo.3 0.12 0.12 0.0476009916181719 0.12 0.12 0.12 0.0116174443866298 0.000151797230206859 5.92521792540006e-06 1.29907030862376e-06 1.60149620697821e-09
Online-W.2 0.12 0.12 0.021536401658934 0.12 0.0221725402506865 0.12 0.00348135244380805 2.82364085474702e-05 7.01400048072016e-07 1.22027688492444e-07 4.46631950470859e-11
Online-B.4 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00812594083909197 0.000536423635539595 0.000263199586611131 6.05914105014379e-06
HUMAN.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00818712852836576 0.000471483675099433 0.000352965318048753 1.29826181438399e-06
Manifold.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0376497182824665 0.00288429883486188 0.00335946441755796 1.28183108004764e-05
Facebook-AI.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00797327688002186 0.000435160540249973 0.000257276893252648 3.7271034490814e-07
NiuTrans.7 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0248389694296513 0.0228025144217111 0.000307338966508062
Online-G.6 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0141026941394998
AFRL.9 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-A.5 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-Y.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

