 NiuTrans.21 KwaiNLP.18 DIDI-NLP.0 HUMAN.0 HappyNewYear.16 P3AI.4 Borderline.1 ICL.11 MiSS.8 IIE-MT.6 Machine_Translation.19 SMU.2 yyds.9 Facebook-AI.5 Online-B.13 ZengHuiMT.7 HuaweiTSC.20 XMU.17 NJUSC_TSC.3 Online-G.15 Online-W.10 UF.22 Online-A.14 Online-Y.12
NiuTrans.21 0.12 0.12 0.12 0.12 0.12 0.0257147127793518 0.00158873310776465 0.00246310320932161 0.000283103463912667 0.00711486435524881 2.06152299554334e-06 0.000125698740352404 7.16991233842633e-05 0.000387376401320528 0.000138041086372341 8.02249815292122e-05 1.47081440352916e-05 6.18579670451494e-06 8.0502677562562e-08 1.61480215355236e-07 7.67698381340253e-06 2.72533661930579e-09 9.37108748699331e-12 6.84358154679404e-10
KwaiNLP.18 0.12 0.12 0.12 0.12 0.12 0.12 0.023438469985652 0.0290009460289786 0.0057908809407485 0.12 5.17113629100128e-05 0.00276914031723537 0.00186373276339548 0.0101513331872983 0.00293691192321367 0.00173507593661476 0.000958559275662372 0.000303509837908369 7.04143494795769e-06 5.64177740268299e-06 0.000265824199142383 3.29287013614715e-07 4.58421160963583e-09 1.77638626719426e-07
DIDI-NLP.0 0.12 0.12 0.12 0.12 0.12 0.12 0.00668753581326598 0.00879139201702524 0.00143262017760544 0.0242521623976784 8.82923031930002e-06 0.000491591756541235 0.000327754924746012 0.00170340221337078 0.000695502577136768 0.000388552946345759 9.80165600776149e-05 3.18387992759367e-05 6.81139911819455e-07 9.69049217116533e-07 4.20226128081116e-05 2.74428891369709e-08 1.17510959508187e-10 7.04308991138595e-09
HUMAN.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0420725645440064 0.12 0.00177059087757793 0.0213668845050849 0.0159266470689737 0.0363402270913041 0.0202424418871772 0.0160931521736617 0.00654728026600865 0.00391749842725588 0.000209827875745891 0.000269696405050425 0.00368340363077824 1.68827815427801e-05 2.69663551464225e-07 3.18575326621366e-06
HappyNewYear.16 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0344897401481081 0.12 0.00108367674659361 0.0177465739518854 0.0144722122375818 0.0351598808827066 0.0171798460666972 0.0136711905217553 0.00608600788836277 0.00323517839126416 0.000165462049585428 0.000152588734675626 0.00285089094388495 1.35092851390553e-05 2.25546979013715e-07 3.24829345869937e-06
P3AI.4 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00522344033611877 0.0473454819835202 0.0348366227438223 0.12 0.0452236875219518 0.0390413487843078 0.0169437355954234 0.0105014563308193 0.000865740540737308 0.000867222188325447 0.00985175881669589 7.09816878220573e-05 2.23688110356665e-06 2.4996599608173e-05
Borderline.1 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0175209511795433 0.0186496506626438 0.12 0.00283509693123512 0.000200233750993635 0.00088443185651062
ICL.11 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0233316734444056 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0070311248197191 0.0056522997340056 0.12 0.000861801217776604 4.29452372279066e-05 0.00034694472559072
MiSS.8 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0337481219357784 0.0302138310609006 0.12 0.00723470768302463 0.000416240799313906 0.00204990856438132
IIE-MT.6 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0348379553654929 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00863194194959764 0.00819606815094663 0.0478352306272376 0.00103630276013595 6.62386531492984e-05 0.000316637912258676
