pair	doc_id	translator	system	metric	score
de-fr	salzburg.com.306606	A	Online-G	bleu	31.369266143644353
de-fr	salzburg.com.306606	A	Online-Y	bleu	29.055715235149254
de-fr	salzburg.com.306606	A	LISN	bleu	23.78156052792175
de-fr	salzburg.com.306606	A	Manifold	bleu	31.05163268530273
de-fr	salzburg.com.306606	A	Online-W	bleu	28.326561816831337
de-fr	salzburg.com.306606	A	Online-A	bleu	35.87604586988556
de-fr	salzburg.com.306606	A	P3AI	bleu	30.751230612603546
de-fr	salzburg.com.306606	A	Online-B	bleu	24.538698337456676
de-fr	salzburg.com.306606	A	talp_upc	bleu	28.278270601821113
de-fr	faz.79579	A	Online-G	bleu	40.07589852171209
de-fr	faz.79579	A	Online-Y	bleu	33.45761419800724
de-fr	faz.79579	A	LISN	bleu	37.95528643868941
de-fr	faz.79579	A	Manifold	bleu	47.50351339246901
de-fr	faz.79579	A	Online-W	bleu	37.36004344913533
de-fr	faz.79579	A	Online-A	bleu	44.970428475236076
de-fr	faz.79579	A	P3AI	bleu	42.78437064812119
de-fr	faz.79579	A	Online-B	bleu	32.369379898286496
de-fr	faz.79579	A	talp_upc	bleu	35.051333023962826
de-fr	kurier.at.204635	A	Online-G	bleu	34.44676586571438
de-fr	kurier.at.204635	A	Online-Y	bleu	40.726962980533926
de-fr	kurier.at.204635	A	LISN	bleu	38.584270369596624
de-fr	kurier.at.204635	A	Manifold	bleu	47.3385240890775
de-fr	kurier.at.204635	A	Online-W	bleu	41.95883176091105
de-fr	kurier.at.204635	A	Online-A	bleu	46.501710356734854
de-fr	kurier.at.204635	A	P3AI	bleu	45.37821555702632
de-fr	kurier.at.204635	A	Online-B	bleu	44.56792787820483
de-fr	kurier.at.204635	A	talp_upc	bleu	36.28228506632715
de-fr	sz.151403	A	Online-G	bleu	22.01354686812079
de-fr	sz.151403	A	Online-Y	bleu	22.43651634932419
de-fr	sz.151403	A	LISN	bleu	28.85855252823795
de-fr	sz.151403	A	Manifold	bleu	28.782183030451453
de-fr	sz.151403	A	Online-W	bleu	26.024151386139483
de-fr	sz.151403	A	Online-A	bleu	32.217454200238635
de-fr	sz.151403	A	P3AI	bleu	27.105137620119258
de-fr	sz.151403	A	Online-B	bleu	27.15310765667782
de-fr	sz.151403	A	talp_upc	bleu	24.9151510247253
de-fr	kurier.at.204632	A	Online-G	bleu	28.159400906231987
de-fr	kurier.at.204632	A	Online-Y	bleu	31.16818842454054
de-fr	kurier.at.204632	A	LISN	bleu	27.379122691232137
de-fr	kurier.at.204632	A	Manifold	bleu	26.462553256317467
de-fr	kurier.at.204632	A	Online-W	bleu	27.62952402240514
de-fr	kurier.at.204632	A	Online-A	bleu	42.268131682570235
de-fr	kurier.at.204632	A	P3AI	bleu	27.149511265155702
de-fr	kurier.at.204632	A	Online-B	bleu	27.801273670500223
de-fr	kurier.at.204632	A	talp_upc	bleu	22.9405702271508
de-fr	faz.79571	A	Online-G	bleu	24.609620425129478
de-fr	faz.79571	A	Online-Y	bleu	23.990413281460015
de-fr	faz.79571	A	LISN	bleu	24.060908661323282
de-fr	faz.79571	A	Manifold	bleu	31.0777847911493
de-fr	faz.79571	A	Online-W	bleu	29.498985869875014
de-fr	faz.79571	A	Online-A	bleu	29.97327422556396
de-fr	faz.79571	A	P3AI	bleu	28.853220625766873
de-fr	faz.79571	A	Online-B	bleu	29.12069929609996
de-fr	faz.79571	A	talp_upc	bleu	25.023111126789107
de-fr	sz.151545	A	Online-G	bleu	31.598450340403495
de-fr	sz.151545	A	Online-Y	bleu	26.095733665536603
de-fr	sz.151545	A	LISN	bleu	31.59839399569613
de-fr	sz.151545	A	Manifold	bleu	36.25266991612174
de-fr	sz.151545	A	Online-W	bleu	30.462774662760754
de-fr	sz.151545	A	Online-A	bleu	34.669265558958664
de-fr	sz.151545	A	P3AI	bleu	30.819625596382767
de-fr	sz.151545	A	Online-B	bleu	32.392924224224195
de-fr	sz.151545	A	talp_upc	bleu	27.31598817214084
de-fr	handelsblatt.com.292744	A	Online-G	bleu	26.7680063999153
de-fr	handelsblatt.com.292744	A	Online-Y	bleu	23.67368893861826
de-fr	handelsblatt.com.292744	A	LISN	bleu	26.4224717386769
de-fr	handelsblatt.com.292744	A	Manifold	bleu	26.80317950795335
de-fr	handelsblatt.com.292744	A	Online-W	bleu	24.197587592886457
de-fr	handelsblatt.com.292744	A	Online-A	bleu	35.59210246025861
de-fr	handelsblatt.com.292744	A	P3AI	bleu	25.183568314444116
de-fr	handelsblatt.com.292744	A	Online-B	bleu	24.861385342404997
de-fr	handelsblatt.com.292744	A	talp_upc	bleu	20.907229464155293
de-fr	sz.151465	A	Online-G	bleu	26.8088736105474
de-fr	sz.151465	A	Online-Y	bleu	27.22937593440163
de-fr	sz.151465	A	LISN	bleu	24.657248045121584
de-fr	sz.151465	A	Manifold	bleu	30.541807404876877
de-fr	sz.151465	A	Online-W	bleu	29.477821841688073
de-fr	sz.151465	A	Online-A	bleu	30.865980380876238
de-fr	sz.151465	A	P3AI	bleu	30.929950106331326
de-fr	sz.151465	A	Online-B	bleu	28.491828535843542
de-fr	sz.151465	A	talp_upc	bleu	24.444803591853443
de-fr	nzz.ch.79514	A	Online-G	bleu	28.382987415413318
de-fr	nzz.ch.79514	A	Online-Y	bleu	32.135576708052646
de-fr	nzz.ch.79514	A	LISN	bleu	28.776255478978296
de-fr	nzz.ch.79514	A	Manifold	bleu	35.40359112502245
de-fr	nzz.ch.79514	A	Online-W	bleu	28.654625898809687
de-fr	nzz.ch.79514	A	Online-A	bleu	32.64496414867716
de-fr	nzz.ch.79514	A	P3AI	bleu	29.483029791973177
de-fr	nzz.ch.79514	A	Online-B	bleu	34.403968461885235
de-fr	nzz.ch.79514	A	talp_upc	bleu	27.448149362358123
de-fr	nw-news.de.146744	A	Online-G	bleu	21.387906255434594
de-fr	nw-news.de.146744	A	Online-Y	bleu	23.027724703628678
de-fr	nw-news.de.146744	A	LISN	bleu	24.756862307116318
de-fr	nw-news.de.146744	A	Manifold	bleu	25.713653609823197
de-fr	nw-news.de.146744	A	Online-W	bleu	28.21025061761552
de-fr	nw-news.de.146744	A	Online-A	bleu	29.276198937720153
de-fr	nw-news.de.146744	A	P3AI	bleu	16.92344663051015
de-fr	nw-news.de.146744	A	Online-B	bleu	26.561858747563264
de-fr	nw-news.de.146744	A	talp_upc	bleu	27.478866813608256
de-fr	kurier.at.204564	A	Online-G	bleu	19.60198419086476
de-fr	kurier.at.204564	A	Online-Y	bleu	18.43963809507889
de-fr	kurier.at.204564	A	LISN	bleu	25.098797589129912
de-fr	kurier.at.204564	A	Manifold	bleu	24.541757403981563
de-fr	kurier.at.204564	A	Online-W	bleu	26.65502860046376
de-fr	kurier.at.204564	A	Online-A	bleu	32.65387190751135
de-fr	kurier.at.204564	A	P3AI	bleu	29.662274616080474
de-fr	kurier.at.204564	A	Online-B	bleu	19.72914616492715
de-fr	kurier.at.204564	A	talp_upc	bleu	28.975200064532487
de-fr	spiegel.126085	A	Online-G	bleu	37.69265198671922
de-fr	spiegel.126085	A	Online-Y	bleu	35.83406635519145
de-fr	spiegel.126085	A	LISN	bleu	37.38002515225309
de-fr	spiegel.126085	A	Manifold	bleu	40.008531884657145
de-fr	spiegel.126085	A	Online-W	bleu	34.980088740239346
de-fr	spiegel.126085	A	Online-A	bleu	45.16977367064065
de-fr	spiegel.126085	A	P3AI	bleu	37.079372590176895
de-fr	spiegel.126085	A	Online-B	bleu	37.47715624815237
de-fr	spiegel.126085	A	talp_upc	bleu	36.31154392463748
de-fr	sz.151402	A	Online-G	bleu	25.470979292540584
de-fr	sz.151402	A	Online-Y	bleu	20.212325578669475
de-fr	sz.151402	A	LISN	bleu	23.767965915391354
de-fr	sz.151402	A	Manifold	bleu	23.39244487595682
de-fr	sz.151402	A	Online-W	bleu	30.525628008001604
de-fr	sz.151402	A	Online-A	bleu	27.216611223520648
de-fr	sz.151402	A	P3AI	bleu	26.92089172816949
de-fr	sz.151402	A	Online-B	bleu	25.515268472456363
